NC(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['NC(=O)c1ccc(B(O)O)cc1']; [0.999991775]
c1cnc(Nc2cnn3cccnc23)nc1; [None]; [None]; [0]
O=C(Nc1ccccc1)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['O=C(Nc1ccccc1)c1ccc(B(O)O)cc1']; [0.999979734]
c1ccc2c(Cc3cnn4cccnc34)nccc2c1; ['Brc1cnn2cccnc12']; ['Cc1nccc2ccccc12']; [0.998954296]
Fc1cccc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc(F)c1']; [0.999880433]
O=C(Nc1cnn2cccnc12)C1CC1; [None]; [None]; [0]
Clc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(Cl)cc1']; [0.999995828]
OCCOc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
c1cc(-c2cnn3cccnc23)cc(C2CCNCC2)c1; [None]; [None]; [0]
c1cnc2c(Nc3ccncn3)cnn2c1; ['Brc1cnn2cccnc12']; ['Nc1ccncn1']; [0.99736917]
Cc1cc(-c2cnn3cccnc23)nn1C; [None]; [None]; [0]
C[C@H](O)COc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
CNS(=O)(=O)c1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
FC(F)(F)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(C(F)(F)F)cc1']; [0.999999523]
CN(C)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CN(C)c1ccc(B(O)O)cc1']; [0.999996185]
Oc1ccccc1Cc1cnn2cccnc12; [None]; [None]; [0]
Cc1nc(C)c(-c2cnn3cccnc23)s1; [None]; [None]; [0]
c1cnc2c(Cc3ccncc3)cnn2c1; [None]; [None]; [0]
c1cncc(Cc2cnn3cccnc23)c1; [None]; [None]; [0]
OC[C@@H](O)Cc1cnn2cccnc12; [None]; [None]; [0]
Clc1ncc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['OB(O)c1cnc(Cl)nc1']; [0.999989152]
c1cnc2c(-c3cncnc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cncnc1']; [0.999953032]
Brc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
c1cnc2c(-n3ccnc3)cnn2c1; ['Brc1cnn2cccnc12']; ['c1c[nH]cn1']; [0.999708712]
COc1ccc(Cc2cnn3cccnc23)cc1; [None]; [None]; [0]
COc1ccc(Cl)cc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['COc1ccc(Cl)cc1B(O)O']; [0.999970317]
