smiles,subpocket,bool_pains,bool_brenk,bool_ro3,bool_qed,qed,bool_bb,bool_syba,syba,retro_count,bool_retro
Cc1cn2c(-c3cn[nH]c3)cnc2cn1,AP,1,1,1,1,0.6445208711483315,0,1,27.0183206769027,,
Cn1ccncc1=O,AP,1,1,1,0,0.4624735047554044,0,1,20.309199042427714,,
Nc1[nH]ncc1C=O,AP,1,0,0,1,0.4929363112315002,1,1,8.079684695524305,,
CN1C(=O)NCc2cnc(N)nc21,AP,1,1,0,1,0.5732088230424951,0,0,-13.643395818123805,,
Nc1ncnc2nc[nH]c12,AP,1,1,0,1,0.5296759293780585,1,1,26.61136160737535,,
Nc1nccn2ccnc12,AP,1,1,1,1,0.5638030951061849,0,1,25.62870220979388,,
Cn1cccc(N)c1=O,AP,1,1,1,1,0.5275047833665327,1,1,24.529712738424593,146.0,1.0
Cn1ccccc1=O,AP,1,1,1,0,0.4719138439954858,1,1,30.413442939462662,,
O=c1cccn[nH]1,AP,1,1,1,0,0.4845465820485108,1,1,16.393963737650818,,
NC(=O)c1cccnc1N,AP,1,1,0,1,0.5601323657155416,1,1,40.033456674088,,
Cn1ccnc(N)c1=O,AP,1,1,0,1,0.5014678028929576,0,1,22.21804175037937,,
Cn1ncccc1=O,AP,1,1,1,0,0.4624735047554044,1,1,30.21359667908711,,
Nc1ccc2nccnc2c1,AP,1,0,1,1,0.5667175363853326,1,1,42.21819807840159,,
Nc1ncnc(N)n1,AP,1,1,0,0,0.44941677845639305,1,1,17.079409888018347,,
NC1=NCC=NC1=O,AP,1,1,0,0,0.433256140144005,0,0,-32.28946480884326,,
Cn1nccc(N)c1=O,AP,1,1,0,1,0.5014678028929576,0,1,17.667870161747025,,
Nc1ccn[nH]c1=O,AP,1,1,0,0,0.4670416161550293,0,1,10.890024228172164,,
NC(=O)c1ccc(N)nc1,AP,1,1,0,1,0.5601323657155416,0,1,41.390746412175844,,
NC(=O)c1cccnc1O,AP,1,1,0,1,0.5678515844292622,0,1,25.36242051773053,,
Nc1ncnc2[nH]cc(C=O)c12,AP,1,0,0,1,0.5923815485979881,0,1,18.388017034626447,,
Cn1c2c(cc(N)c1=O)-c1ccccc1C[C@H](O)C2,AP,1,1,0,1,0.7412044679195968,0,1,0.6861190766721115,,
Nc1ncc2[nH]c(=O)c(=O)[nH]c2n1,AP,1,0,0,0,0.4291621838139394,0,1,18.552856954063927,,
CNc1cc(N)ncn1,AP,1,1,0,1,0.5569791707820108,1,1,30.80902115474401,,
COc1cnccc1N,AP,1,1,1,1,0.5982384187369707,0,1,16.361795385980347,,
NC(=O)c1n[nH]cc1N,AP,1,1,0,0,0.4539721011557528,1,1,19.086790805884927,,
Nc1nc(O)c2nc[nH]c2n1,AP,1,1,0,0,0.4769713284240622,1,1,26.012944509829197,,
O=c1ccoc2cc(O)cc(O)c12,AP,1,1,0,1,0.6354873593320908,1,1,27.299722576177157,,
CCn1cnc2c(N)ncnc21,AP,1,1,0,1,0.6613593002754281,1,1,48.29253910639093,,
CCc1cnn2c(N)ccnc12,AP,1,1,1,1,0.67660634210555,0,1,26.36611572089349,,
Cn1cnc2c(N)ncnc21,AP,1,1,0,1,0.5695517474821745,1,1,31.737596772945967,,
COc1cc2ncnc(N)c2cc1OC,AP,1,1,0,1,0.7979523736971121,1,1,41.67674998924987,,
Nc1ncc2nc[nH]c2n1,AP,1,1,0,1,0.5296759293780585,1,1,21.189947193340842,,
COc1nc(N)nc(N)c1N=O,AP,1,1,0,1,0.6036976744590201,0,1,12.650676002666824,,
O=C1Cc2cc(S(=O)(=O)[O-])ccc2N1,AP,1,0,0,1,0.667953140702261,0,1,29.63755010814528,,
N/C=C1\C(=O)Nc2ccc3ncsc3c21,AP,1,0,0,1,0.657699105439811,0,0,-23.233303304483552,,
Nc1ncnc2[nH]cnc12,AP,1,1,0,1,0.5296759293780585,1,1,30.049058787069338,,
NC(N)=O,AP,1,1,0,0,0.3705073514035382,1,1,12.3711326840275,,
NC(=O)Nc1cc[nH]n1,AP,1,1,0,0,0.4905453419261289,0,1,32.75285051914737,,
Nc1ccncn1,AP,1,1,1,1,0.4953127132437442,1,1,24.137073389913574,92.0,1.0
Nc1cc(N)ncn1,AP,1,1,0,0,0.4777611922776153,1,1,22.941806219122117,,
Nc1ncc(Br)cn1,AP,1,1,1,1,0.6328582562302699,1,1,26.407954697025676,110.0,1.0
N/C=C1\C(=O)Nc2ccccc21,AP,1,0,1,1,0.5547257407725986,0,0,-6.7960721137178055,,
O=C1Nc2ccc3ncsc3c2/C1=N/Nc1ccccc1,AP,0,0,0,1,0.7138144058460063,0,1,29.665646167879054,,
Nc1ncc(N=O)c(N)n1,AP,1,1,0,1,0.5337533719865071,0,1,8.445057210712758,,
CC(=O)Nc1ncccn1,AP,1,1,1,1,0.6104260962860729,1,1,42.093179685913604,0.0,0.0
O=C1Nc2ccc(F)c3ccc(-c4ccc[nH]4)c1c23,AP,1,1,0,1,0.6832117463289039,0,1,1.6880748367178176,,
c1cncnc1,AP,1,1,1,0,0.4525571430979931,1,1,20.650117467972965,,
Nc1nc2ccc(C=O)cn2c1C=O,AP,1,0,0,1,0.6992233797299435,0,1,17.500931576866055,,
COc1cc[nH]c1C,AP,1,1,1,1,0.5806914874315203,0,1,21.52948613870356,,
O=CNc1cc[nH]n1,AP,1,0,1,1,0.5266484082045457,0,1,11.179188932838533,,
Nc1cc(Cl)nc2ccnn12,AP,1,1,1,1,0.5966276546315371,0,1,25.05600319716943,,
Nc1ccnc2ccnn12,AP,1,1,1,1,0.5638030951061849,1,1,25.54147732141739,0.0,0.0
Nc1cn2cc(C=O)ccc2n1,AP,1,0,0,1,0.6269506363663427,0,1,22.201129023699757,,
O=C1c2ccccc2-c2n[nH]cc21,AP,1,1,1,1,0.5568376219021443,0,1,15.661927318992523,,
CCc1n[nH]c2nc[nH]c(=O)c12,AP,1,1,0,1,0.6321938181908657,0,1,34.1131590306132,,
C[C@@]1(O)/C(=C2/C(=O)Nc3ccc([SH](=O)=O)cc32)Nc2ccccc21,AP,1,0,0,0,0.4668941064864818,0,0,-55.359504599105385,,
NC(=O)c1n[nH]c2c1CCc1[nH]ncc1-2,AP,1,1,0,1,0.6075062323408393,0,1,19.26020722810384,,
[O+]#[N+2]([O-])c1cccc(Nc2ncccn2)c1,AP,1,0,0,1,0.616945142891312,0,1,57.166358496958296,,
Nc1ccnc2ncnn12,AP,1,1,0,1,0.5383637047155415,1,1,24.68763136672711,,
Cc1ccc2occ(O)c(=O)c2c1,AP,1,1,1,1,0.6654734086251236,0,1,39.305081508733075,,
c1ncc2nc[nH]c2n1,AP,1,1,1,1,0.5454672838232756,1,1,19.38059096174531,78.0,1.0
COc1cc2nc[nH]c2cc1OC,AP,1,1,1,1,0.7589847809994558,0,1,40.73744410985244,,
Fc1ccccc1-c1cn2ccnc2cn1,AP,1,1,1,1,0.6214089754511068,0,1,48.06887685493216,,
Cc1cnc2c(N)nccn12,AP,1,1,1,1,0.5954370615348293,0,1,20.646010162702265,,
Nc1ccnc2c(Br)cnn12,AP,1,1,1,1,0.7115952478146391,0,1,22.46523074168695,,
Nc1cccc2c(Br)cnn12,AP,1,1,1,1,0.7213094135103859,0,1,21.117125790288185,,
Nc1cccn2c(Br)cnc12,AP,1,1,1,1,0.7213094135103859,0,1,23.45111610739389,,
Nc1ccnc2c(CO)cnn12,AP,1,1,0,1,0.6117586632507916,0,1,18.933124965922477,,
Cc1ccco1,AP,1,1,1,0,0.4628605847396023,1,1,19.556171766491552,,
Cc1ccc(-c2ccccc2)o1,AP,1,1,0,1,0.6204760024300537,1,1,48.21584543526078,,
CCc1ccco1,AP,1,1,1,1,0.5195790437613876,1,1,32.522897382898286,110.0,1.0
[H]/N=C1\NC(=O)CS1,AP,1,0,1,0,0.4595902452065177,0,0,-5.046353119477123,,
NC(=O)c1cc[nH]n1,AP,1,1,0,1,0.5128254311845627,1,1,27.40768558707893,,
N#Cc1cnn2c(N)cc(Cl)nc12,AP,1,1,0,1,0.6289718547627411,0,1,23.05940675103565,,
N#Cc1cnn2c(N)ccnc12,AP,1,1,0,1,0.5942836481630253,0,1,25.31456572253303,,
c1ccc(Nc2ncccn2)cc1,AP,1,1,1,1,0.752389705777418,1,1,65.22409755389877,0.0,0.0
Nc1ncc(F)cn1,AP,1,1,1,1,0.5223973940745565,0,1,19.727113347286434,,
Cn1ncc2c1-c1nc(N)ncc1CC2,AP,1,1,0,1,0.6756882529337385,0,1,11.011643159274216,,
CC1(C)c2[nH]nc(N)c2CN1C=O,AP,1,0,0,1,0.6060188060629421,0,0,-22.74334589720253,,
CNC(=O)c1nn(C)c2c1ccc1cnc(N)nc12,AP,1,1,0,1,0.6585951952833748,0,1,35.31773026679583,,
Cc1nc2c(s1)-c1nc(N)ncc1CC2,AP,1,1,0,1,0.7289213591751048,0,1,9.012252023037211,,
COc1ccnc2[nH]ccc12,AP,1,1,1,1,0.66614760974663,0,1,36.45095187593385,,
Oc1ccnc2[nH]ccc12,AP,1,1,1,1,0.5695767699152823,0,1,23.784334390447718,,
