COc1cc(OC)cc(-c2cnn3cccnc23)c1; ['Brc1cnn2cccnc12']; ['COc1cc(OC)cc(B(O)O)c1']; [0.999998093]
Cc1nc(Nc2cnn3cccnc23)sc1C; [None]; [None]; [0]
Cc1ccc(-c2cnn3cccnc23)o1; [None]; [None]; [0]
c1cnc2c(-c3ccc4cn[nH]c4c3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc2cn[nH]c2c1']; [0.999998689]
CCn1cc(-c2cnn3cccnc23)cn1; ['Brc1cnn2cccnc12']; ['CCn1cc(B2OC(C)(C)C(C)(C)O2)cn1']; [0.999999762]
COc1cc(-c2cnn3cccnc23)c(OC)cc1Br; [None]; [None]; [0]
c1ccc2oc(-c3cnn4cccnc34)cc2c1; [None]; [None]; [0]
COC(=O)Nc1cnn2cccnc12; [None]; [None]; [0]
FC(F)(F)Oc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['OB(O)c1ccc(OC(F)(F)F)cc1', 'FC(F)(F)Oc1ccc(Br)cc1']; [1.0, 1.0]
CC(C)Oc1cnn2cccnc12; [None]; [None]; [0]
CNC(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['CNC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1']; [1.0]
CCc1cccc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
OCCc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OCCc1ccc(Br)cc1']; [0.988333404]
Cc1ccc(-c2cnn3cccnc23)nc1C; [None]; [None]; [0]
c1cnc2c(-c3cscn3)cnn2c1; [None]; [None]; [0]
c1ccc(Nc2cnn3cccnc23)nc1; ['Brc1cnn2cccnc12']; ['Nc1ccccn1']; [0.991860211]
COc1cc(N2CCNCC2)ccc1-c1cnn2cccnc12; [None]; [None]; [0]
O=C1CCCN1c1cccc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
Fc1ccc(Nc2cnn3cccnc23)nc1; ['Brc1cnn2cccnc12']; ['Nc1ccc(F)cn1']; [0.999346912]
c1cnc2c(-c3ccncc3)cnn2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccncc1']; [0.999994397]
Oc1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(O)cc1']; [0.999992728]
CS(=O)(=O)c1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
c1ccc2c(-c3cnn4cccnc34)n[nH]c2c1; [None]; [None]; [0]
c1cc(-c2cnn3cccnc23)c2cccnc2c1; ['Brc1cnn2cccnc12']; ['OB(O)c1cccc2ncccc12']; [0.999984145]
Oc1cc(-c2cnn3cccnc23)ccc1Cl; [None]; [None]; [0]
Fc1cccc(F)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1c(F)cccc1F']; [0.99996078]
Clc1cccc(Cl)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1c(Cl)cccc1Cl']; [0.999952435]
Cc1ncc(-c2cnn3cccnc23)[nH]1; ['Brc1cnn2cccnc12']; ['Cc1ncc[nH]1']; [0.878040731]
Fc1ccc(Oc2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12']; ['Oc1ccc(F)cc1']; [0.999930739]
