c1ccc2c(COc3ncco3)cccc2c1; [None]; [None]; [0]
CC(=O)N(C)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
Fc1ccc(COc2ncco2)c(F)c1; [None]; [None]; [0]
Fc1ccc(CCc2ncco2)c(F)c1; [None]; [None]; [0]
c1ccc2nc(-c3ncco3)ncc2c1; [None]; [None]; [0]
Cc1ccc2ncn(-c3ncco3)c2c1; [None]; [None]; [0]
c1coc(-c2ccc(N3CCOCC3)cc2)n1; [None]; [None]; [0]
COc1cccc(N2CCC(c3ncco3)CC2)c1; [None]; [None]; [0]
CS(=O)(=O)Nc1ccc(-c2ncco2)cn1; [None]; [None]; [0]
O=c1c2ccccc2cnn1-c1ncco1; [None]; [None]; [0]
O=C(Nc1cccc(-c2ncco2)c1)C1CC1; [None]; [None]; [0]
O=C(c1ccc(-c2ncco2)cc1)N1CCOCC1; [None]; [None]; [0]
O=C(c1ccc(-c2ncco2)nc1)N1CCOCC1; [None]; [None]; [0]
CC(=O)NCc1ccc(-c2ncco2)cc1; [None]; [None]; [0]
c1ccc(Cc2ncco2)cc1; ['ClCc1ccccc1']; ['c1cocn1']; [0.995695472]
C[C@@H](O)COc1ccc(-c2ncco2)cc1; [None]; [None]; [0]
CNS(=O)(=O)Cc1ncco1; [None]; [None]; [0]
CN(C)S(=O)(=O)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
c1coc(C2CCCCC2)n1; [None]; [None]; [0]
CS(=O)(=O)N1CCC(c2ncco2)CC1; [None]; [None]; [0]
O=C(c1ccccc1)N1CC[C@H](c2ncco2)C1; [None]; [None]; [0]
Nc1ncc(Cc2ncco2)cn1; [None]; [None]; [0]
c1ncc(Cc2ncco2)cn1; [None]; [None]; [0]
CN(C)c1ccc(-c2ncco2)cc1Cl; [None]; [None]; [0]
Cc1c(C(=O)[O-])cccc1-c1ncco1; [None]; [None]; [0]
CCNS(=O)(=O)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
c1cc(N2CCOCC2)cc(-c2ncco2)n1; [None]; [None]; [0]
Cc1cc(-c2ncco2)sn1; [None]; [None]; [0]
CC(C)(C)NC(=O)Nc1ncco1; ['CC(C)(C)N=C=O']; ['Nc1ncco1']; [0.99968195]
COc1cc(OC)c(-c2ncco2)cc1Cl; [None]; [None]; [0]
COc1cccc(C(=O)N2CCC(c3ncco3)CC2)c1; [None]; [None]; [0]
c1ccc(-c2cc(-c3ncco3)n[nH]2)cc1; [None]; [None]; [0]
c1ccc(Oc2ncccc2-c2ncco2)cc1; [None]; [None]; [0]
CN(C)C(=O)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
[NH3+][C@@H]1CC[C@@H](c2ncco2)CC1; [None]; [None]; [0]
CC(=O)N[C@@H]1CC[C@@H](c2ncco2)CC1; [None]; [None]; [0]
COc1cc(N2CCOCC2)ccc1-c1ncco1; [None]; [None]; [0]
CC(C)(C)c1ccc(-c2ncco2)cn1; [None]; [None]; [0]
CCN1CCN(Cc2ccc(-c3ncco3)cc2)CC1; [None]; [None]; [0]
COc1cccc(C(=O)Nc2ncco2)c1; ['COc1cccc(C(=O)Cl)c1', 'COc1cccc(C(=O)O)c1']; ['Nc1ncco1', 'Nc1ncco1']; [0.999486208, 0.999486208]
CCCCCc1ncco1; ['CCCCCCl']; ['c1cocn1']; [0.987672]
c1coc(CCCn2cncn2)n1; [None]; [None]; [0]
CC[NH+](CC)c1ncco1; [None]; [None]; [0]
c1cc2cnc(-c3ncco3)nn2c1; [None]; [None]; [0]
COc1cc(-c2ncco2)ccc1N1CCOCC1; [None]; [None]; [0]
c1ccn2nc(-c3ncco3)cc2c1; [None]; [None]; [0]
CC1(C)Cc2cc(-c3ncco3)ccc2O1; [None]; [None]; [0]
c1coc(-c2ccc(N3CCCCC3)cc2)n1; [None]; [None]; [0]
Clc1cnc(-c2ncco2)nc1; [None]; [None]; [0]
c1cc(-c2ncco2)cc(-n2nccn2)c1; [None]; [None]; [0]
Cc1csc2c(-c3ncco3)ncnc12; [None]; [None]; [0]
COc1ccc(OC)c(Cc2ncco2)c1; [None]; [None]; [0]
O=S(=O)(CCO)c1ccc(Cc2ncco2)cc1; [None]; [None]; [0]
NC(=O)c1ccc(Cc2ncco2)cc1; [None]; [None]; [0]
O=C(Nc1ncco1)c1ccco1; ['Nc1ncco1']; ['O=C(O)c1ccco1']; [0.902231395]
CCNC(=O)N1CCC(c2ncco2)CC1; [None]; [None]; [0]
Fc1cc2c(c(-c3ncco3)c1)OCOC2; [None]; [None]; [0]
CO[C@@H]1CC[C@@H](c2ncco2)CC1; [None]; [None]; [0]
COc1ccc2oc(-c3ncco3)cc2c1; [None]; [None]; [0]
C[NH+](C)Cc1ccc(-c2ncco2)cc1; [None]; [None]; [0]
CC(C)NC(=O)N[C@@H]1CC[C@@H](c2ncco2)CC1; [None]; [None]; [0]
CC(C)(C)c1ccc(C(=O)Nc2ncco2)cc1; ['CC(C)(C)c1ccc(C(=O)O)cc1', 'COC(=O)c1ccc(C(C)(C)C)cc1']; ['Nc1ncco1', 'Nc1ncco1']; [0.993923604, 0.993923604]
CNC(=O)c1ccc(OC)c(-c2ncco2)c1; [None]; [None]; [0]
Cc1nc(-c2ncco2)c2sccc2n1; [None]; [None]; [0]
c1cncc(-c2ccnc(-c3ncco3)c2)c1; [None]; [None]; [0]
Cn1cc(Br)cc1-c1ncco1; [None]; [None]; [0]
Clc1ccc2nc(-c3ncco3)ncc2c1; [None]; [None]; [0]
c1coc(-c2ncc3sccc3n2)n1; [None]; [None]; [0]
CC(C)c1nn(C)cc1-c1ncco1; [None]; [None]; [0]
C[C@H]1CCCN1C(=O)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
O=C(Nc1cccc(-c2ncco2)c1)N1CCCC1; [None]; [None]; [0]
COc1ccc2nc(-c3ncco3)[nH]c2c1; [None]; [None]; [0]
FC(F)(F)Oc1ncco1; [None]; [None]; [0]
Cn1cc(-c2ncco2)c2ccccc21; [None]; [None]; [0]
O=C([O-])c1ccc(-c2ncco2)cc1Cl; [None]; [None]; [0]
Cn1ncc2cc(-c3ncco3)ccc21; ['Cn1ncc2cc(Br)ccc21']; ['c1cocn1']; [0.997032285]
C[C@H]1CCCN1c1cccc(-c2ncco2)n1; [None]; [None]; [0]
C[NH+](C)CCCc1ncco1; [None]; [None]; [0]
Cc1cc(-c2ncco2)cc(C)c1OCCO; [None]; [None]; [0]
CN(C)c1ccc(-c2ncco2)cn1; [None]; [None]; [0]
Cc1n[nH]c2cc(-c3ncco3)ccc12; [None]; [None]; [0]
FC1(F)CCC(c2ncco2)CC1; [None]; [None]; [0]
COc1cc(N2CCC(O)CC2)ccc1-c1ncco1; [None]; [None]; [0]
c1coc(CC2CCOCC2)n1; [None]; [None]; [0]
Cc1cc(N2CCOCC2)ccc1-c1ncco1; [None]; [None]; [0]
O=S1(=O)CCC(c2ncco2)CC1; [None]; [None]; [0]
CN(C)C(=O)c1ccc(-c2ncco2)c(Cl)c1; [None]; [None]; [0]
CNC(=O)c1ccc(-c2ncco2)c(OC)c1; [None]; [None]; [0]
C[NH+](C)CCCOc1ncco1; [None]; [None]; [0]
CNC(=O)c1ccc(C)c(-c2ncco2)c1; [None]; [None]; [0]
CC(=O)N(C)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CCNC(=O)c1ccc(-c2ncco2)cc1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ncc4ccccc4n3)cc12; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ccc(N4CCOCC4)cc3)cc12; [None]; [None]; [0]
Cc1ccc2ncn(-c3cc4c(Cl)ccnc4[nH]3)c2c1; [None]; [None]; [0]
Cc1ccc(C(=O)NCCO)cc1-c1ncco1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ccccc3)cc12; [None]; [None]; [0]
O=c1c2ccccc2cnn1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
COc1cccc(N2CCC(c3cc4c(Cl)ccnc4[nH]3)CC2)c1; [None]; [None]; [0]
O=C([O-])c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
O=C(Nc1cccc(-c2cc3c(Cl)ccnc3[nH]2)c1)C1CC1; [None]; [None]; [0]
CC(=O)NCc1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
O=C(c1ccc(-c2cc3c(Cl)ccnc3[nH]2)nc1)N1CCOCC1; [None]; [None]; [0]
CS(=O)(=O)Nc1ccc(-c2cc3c(Cl)ccnc3[nH]2)cn1; [None]; [None]; [0]
Clc1ccnc2[nH]c(Cc3ccccc3)cc12; [None]; [None]; [0]
CNS(=O)(=O)Cc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
O=C(c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1)N1CCOCC1; [None]; [None]; [0]
CN(C)S(=O)(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CS(=O)(=O)N1CCC(c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
C[C@@H](O)COc1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
Clc1ccnc2[nH]c(Cc3cncnc3)cc12; [None]; [None]; [0]
O=C(c1ccccc1)N1CC[C@H](c2cc3c(Cl)ccnc3[nH]2)C1; [None]; [None]; [0]
Clc1ccnc2[nH]c(C3CCCCC3)cc12; [None]; [None]; [0]
CCNS(=O)(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CN(C)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1Cl; [None]; [None]; [0]
Nc1ncc(Cc2cc3c(Cl)ccnc3[nH]2)cn1; [None]; [None]; [0]
COc1cc(OC)c(-c2cc3c(Cl)ccnc3[nH]2)cc1Cl; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cc(N4CCOCC4)ccn3)cc12; [None]; [None]; [0]
Cc1c(C(=O)[O-])cccc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cc(-c4ccccc4)[nH]n3)cc12; [None]; [None]; [0]
Cc1cc(-c2cc3c(Cl)ccnc3[nH]2)sn1; [None]; [None]; [0]
CC(C)(C)NC(=O)Nc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
[NH3+][C@@H]1CC[C@@H](c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
COc1cccc(C(=O)N2CCC(c3cc4c(Cl)ccnc4[nH]3)CC2)c1; [None]; [None]; [0]
CN(C)C(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CC(C)(C)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cn1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cccnc3Oc3ccccc3)cc12; [None]; [None]; [0]
COc1cc(N2CCOCC2)ccc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
COc1cccc(C(=O)Nc2cc3c(Cl)ccnc3[nH]2)c1; [None]; [None]; [0]
CC(=O)N[C@@H]1CC[C@@H](c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
CCCCCc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Clc1ccnc2[nH]c(C3CCOCC3)cc12; [None]; [None]; [0]
CCN1CCN(Cc2ccc(-c3cc4c(Cl)ccnc4[nH]3)cc2)CC1; [None]; [None]; [0]
Clc1ccnc2[nH]c(CCCn3cncn3)cc12; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ncc4cccn4n3)cc12; [None]; [None]; [0]
CC[NH+](CC)c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cc4ccccn4n3)cc12; [None]; [None]; [0]
COc1cc(-c2cc3c(Cl)ccnc3[nH]2)ccc1N1CCOCC1; [None]; [None]; [0]
Clc1cnc(-c2cc3c(Cl)ccnc3[nH]2)nc1; [None]; [None]; [0]
CC1(C)Cc2cc(-c3cc4c(Cl)ccnc4[nH]3)ccc2O1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ccc(N4CCCCC4)cc3)cc12; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cccc(-n4nccn4)c3)cc12; [None]; [None]; [0]
Cc1csc2c(-c3cc4c(Cl)ccnc4[nH]3)ncnc12; [None]; [None]; [0]
COc1ccc(OC)c(Cc2cc3c(Cl)ccnc3[nH]2)c1; [None]; [None]; [0]
O=S(=O)(CCO)c1ccc(Cc2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
NC(=O)c1ccc(Cc2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CCNC(=O)N1CCC(c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
O=C(Nc1cc2c(Cl)ccnc2[nH]1)c1ccco1; [None]; [None]; [0]
CO[C@@H]1CC[C@@H](c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
COc1ccc2oc(-c3cc4c(Cl)ccnc4[nH]3)cc2c1; [None]; [None]; [0]
Fc1cc2c(c(-c3cc4c(Cl)ccnc4[nH]3)c1)OCOC2; [None]; [None]; [0]
CC(C)NC(=O)N[C@@H]1CC[C@@H](c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
CNC(=O)c1ccc(OC)c(-c2cc3c(Cl)ccnc3[nH]2)c1; [None]; [None]; [0]
C[NH+](C)Cc1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CC(C)(C)c1ccc(C(=O)Nc2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3cc(-c4cccnc4)ccn3)cc12; [None]; [None]; [0]
Cc1nc(-c2cc3c(Cl)ccnc3[nH]2)c2sccc2n1; [None]; [None]; [0]
Cn1cc(Br)cc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Clc1ccnc2[nH]c(-c3ncc4sccc4n3)cc12; [None]; [None]; [0]
Clc1ccc2nc(-c3cc4c(Cl)ccnc4[nH]3)ncc2c1; [None]; [None]; [0]
C[C@H]1CCCN1C(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
CC(C)c1nn(C)cc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
COc1ccc2nc(-c3cc4c(Cl)ccnc4[nH]3)[nH]c2c1; [None]; [None]; [0]
O=C(Nc1cccc(-c2cc3c(Cl)ccnc3[nH]2)c1)N1CCCC1; [None]; [None]; [0]
FC(F)(F)Oc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Cn1cc(-c2cc3c(Cl)ccnc3[nH]2)c2ccccc21; [None]; [None]; [0]
O=C([O-])c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1Cl; [None]; [None]; [0]
C[C@H]1CCCN1c1cccc(-c2cc3c(Cl)ccnc3[nH]2)n1; [None]; [None]; [0]
Cn1ncc2cc(-c3cc4c(Cl)ccnc4[nH]3)ccc21; [None]; [None]; [0]
Cc1cc(-c2cc3c(Cl)ccnc3[nH]2)cc(C)c1OCCO; [None]; [None]; [0]
CN(C)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cn1; [None]; [None]; [0]
C[NH+](C)CCCc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
FC1(F)CCC(c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
Cc1n[nH]c2cc(-c3cc4c(Cl)ccnc4[nH]3)ccc12; [None]; [None]; [0]
COc1cc(N2CCC(O)CC2)ccc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Clc1ccnc2[nH]c(CC3CCOCC3)cc12; [None]; [None]; [0]
O=S1(=O)CCC(c2cc3c(Cl)ccnc3[nH]2)CC1; [None]; [None]; [0]
Cc1cc(N2CCOCC2)ccc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
CNC(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)c(OC)c1; [None]; [None]; [0]
CN(C)C(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)c(Cl)c1; [None]; [None]; [0]
CCNC(=O)c1ccc(-c2cc3c(Cl)ccnc3[nH]2)cc1; [None]; [None]; [0]
C[NH+](C)CCCOc1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
Cc1ccc(C(=O)NCCO)cc1-c1cc2c(Cl)ccnc2[nH]1; [None]; [None]; [0]
CCOc1ccc(-c2cccc(C(N)=O)n2)cc1; ['CCOc1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Br)n1']; [0.999973536]
CNC(=O)c1ccc(C)c(-c2cc3c(Cl)ccnc3[nH]2)c1; [None]; [None]; [0]
N#Cc1ccc(-c2cccc(C(N)=O)n2)cc1; ['CC1(C)OB(c2ccc(C#N)cc2)OC1(C)C']; ['NC(=O)c1cccc(Cl)n1']; [0.999999762]
CC(=O)N(C)c1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ncc3ccccc3n2)n1; [None]; [None]; [0]
Cc1n[nH]cc1-c1cccc(C(N)=O)n1; [None]; [None]; [0]
COc1cccc(N2CCC(c3cccc(C(N)=O)n3)CC2)c1; [None]; [None]; [0]
COc1ncccc1-c1cccc(C(N)=O)n1; ['COc1ncccc1B(O)O', 'COc1ncccc1B(O)O']; ['NC(=O)c1cccc(Cl)n1', 'NC(=O)c1cccc(Br)n1']; [0.974899, 0.974899]
CS(=O)(=O)c1cccc(-c2cccc(C(N)=O)n2)c1; ['CC1(C)OB(c2cccc(S(C)(=O)=O)c2)OC1(C)C']; ['NC(=O)c1cccc(Cl)n1']; [0.999998212]
COc1cc(-c2cccc(C(N)=O)n2)cc(OC)c1OC; [None]; [None]; [0]
Cn1nncc1-c1cccc(C(N)=O)n1; [None]; [None]; [0]
Cn1cc(-c2cccc(C(N)=O)n2)cn1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cnc3cccnn23)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cccc(O)c2)n1; ['NC(=O)c1cccc(Br)n1', 'NC(=O)c1cccc(Cl)n1']; ['OB(O)c1cccc(O)c1', 'OB(O)c1cccc(O)c1']; [0.999061406, 0.999061406]
NC(=O)c1cccc(-c2ccc(N3CCOCC3)cc2)n1; ['NC(=O)c1cccc(Br)n1']; ['OB(O)c1ccc(N2CCOCC2)cc1']; [0.99999845]
Cc1nn(C)cc1-c1cccc(C(N)=O)n1; [None]; [None]; [0]
COc1ccc(-c2cccc(C(N)=O)n2)cc1; ['COc1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Cl)n1']; [0.99992156]
NC(=O)c1cccc(-c2ccccc2)n1; ['NC(=O)c1cccc(Br)n1', 'NC(=O)c1cccc(Cl)n1']; ['OB(O)c1ccccc1', 'OB(O)c1ccccc1']; [0.999437511, 0.999437511]
NC(=O)c1cccc(-c2cccc(NC(=O)C3CC3)c2)n1; [None]; [None]; [0]
NC(=O)c1ccc(-c2cccc(C(N)=O)n2)cc1; ['CC1(C)OB(c2ccc(C(N)=O)cc2)OC1(C)C', 'NC(=O)c1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Cl)n1', 'NC(=O)c1cccc(Cl)n1']; [0.999999404, 0.999999404]
NC(=O)c1cccc(-c2nc3ccccc3[nH]2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(C(=O)[O-])cc2)n1; [None]; [None]; [0]
CS(=O)(=O)Nc1ccc(-c2cccc(C(N)=O)n2)cn1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(C(=O)Nc3ccccc3)cc2)n1; ['CC1(C)OB(c2ccc(C(=O)Nc3ccccc3)cc2)OC1(C)C', 'CC1(C)OB(c2ccc(C(=O)Nc3ccccc3)cc2)OC1(C)C', 'NC(=O)c1cccc(Cl)n1']; ['NC(=O)c1cccc(Br)n1', 'NC(=O)c1cccc(Cl)n1', 'O=C(Nc1ccccc1)c1ccc(B(O)O)cc1']; [0.999999762, 0.999999762, 0.999999762]
NC(=O)c1cccc(Cc2nccc3ccccc23)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(Cl)cc2)n1; ['CC1(C)OB(c2ccc(Cl)cc2)OC1(C)C', 'NC(=O)c1cccc(Br)n1', 'NC(=O)c1cccc(Cl)n1']; ['NC(=O)c1cccc(Cl)n1', 'OB(O)c1ccc(Cl)cc1', 'OB(O)c1ccc(Cl)cc1']; [0.99999404, 0.99999404, 0.99999404]
NC(=O)c1cccc(Nc2ncccn2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cccc(F)c2)n1; ['NC(=O)c1cccc(Br)n1']; ['OB(O)c1cccc(F)c1']; [0.999826133]
NC(=O)c1cccc(CCCO)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(OCCO)cc2)n1; ['CC1(C)OB(c2ccc(OCCO)cc2)OC1(C)C']; ['NC(=O)c1cccc(Cl)n1']; [0.999999285]
CC(=O)NCc1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(C(=O)N3CCOCC3)cc2)n1; ['CC1(C)OB(c2ccc(C(=O)N3CCOCC3)cc2)OC1(C)C', 'NC(=O)c1cccc(Br)n1']; ['NC(=O)c1cccc(Br)n1', 'O=C(c1ccc(B(O)O)cc1)N1CCOCC1']; [0.999999762, 0.999999762]
NC(=O)c1cccc(-c2cccc(C3CCNCC3)c2)n1; [None]; [None]; [0]
C[C@H](O)COc1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(C(=O)N3CCOCC3)cn2)n1; [None]; [None]; [0]
Cc1cc(-c2cccc(C(N)=O)n2)nn1C; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc(C(F)(F)F)cc2)n1; ['CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C']; ['NC(=O)c1cccc(Cl)n1']; [0.999996543]
C[C@@H](O)COc1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
CN(C)c1ccc(-c2cccc(C(N)=O)n2)cc1; ['CN(C)c1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Cl)n1']; [0.999924541]
CNS(=O)(=O)c1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
CN(C)S(=O)(=O)c1ccc(-c2cccc(C(N)=O)n2)cc1; ['CN(C)S(=O)(=O)c1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Br)n1']; [0.999972105]
Cc1nc(C)c(-c2cccc(C(N)=O)n2)s1; [None]; [None]; [0]
NC(=O)c1cccc(C2CCCCC2)n1; [None]; [None]; [0]
CS(=O)(=O)N1CCC(c2cccc(C(N)=O)n2)CC1; [None]; [None]; [0]
NC(=O)c1cccc([C@H]2CCN(C(=O)c3ccccc3)C2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cncnc2)n1; ['NC(=O)c1cccc(Cl)n1']; ['OB(O)c1cncnc1']; [0.998448372]
NC(=O)c1cccc(-c2ccc(Br)cc2)n1; ['NC(=O)c1cccc(Br)n1']; ['OB(O)c1ccc(Br)cc1']; [0.998581767]
CCNS(=O)(=O)c1ccc(-c2cccc(C(N)=O)n2)cc1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cnc(Cl)nc2)n1; ['CC1(C)OB(c2cnc(Cl)nc2)OC1(C)C', 'NC(=O)c1cccc(Br)n1']; ['NC(=O)c1cccc(Cl)n1', 'OB(O)c1cnc(Cl)nc1']; [0.999794543, 0.999794543]
Cc1c(C(=O)[O-])cccc1-c1cccc(C(N)=O)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cn[nH]c2)n1; [None]; [None]; [0]
CN(C)c1ccc(-c2cccc(C(N)=O)n2)cc1Cl; [None]; [None]; [0]
COc1ccc(Cl)cc1-c1cccc(C(N)=O)n1; ['COc1ccc(Cl)cc1B(O)O']; ['NC(=O)c1cccc(Cl)n1']; [0.99653095]
COc1cc(OC)c(-c2cccc(C(N)=O)n2)cc1Cl; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc[nH]2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2c[nH]c3ccccc23)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccc3c(c2)CCO3)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cc(N3CCOCC3)ccn2)n1; [None]; [None]; [0]
CC(=O)Nc1cccc(-c2cccc(C(N)=O)n2)c1; ['CC(=O)Nc1cccc(B(O)O)c1']; ['NC(=O)c1cccc(Br)n1']; [0.999506116]
Cc1cc(-c2cccc(C(N)=O)n2)sn1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cc(-c3ccccc3)[nH]n2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cc3ccccc3cn2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cccc3c2OCO3)n1; [None]; [None]; [0]
COc1cc(-c2cccc(C(N)=O)n2)ccc1O; ['COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O']; ['NC(=O)c1cccc(Br)n1']; [0.9999367]
NC(=O)c1cccc(-c2ccc(F)c(F)c2)n1; ['NC(=O)c1cccc(Cl)n1']; ['OB(O)c1ccc(F)c(F)c1']; [0.999982834]
COc1cccc(C(=O)N2CCC(c3cccc(C(N)=O)n3)CC2)c1; [None]; [None]; [0]
NC(=O)c1cccc(-c2scc3c2OCCO3)n1; [None]; [None]; [0]
NC(=O)c1cccc([C@@H]2CC[C@@H]([NH3+])CC2)n1; [None]; [None]; [0]
NC(=O)c1cccc(-c2cnc3ccccc3c2)n1; ['CC1(C)OB(c2cnc3ccccc3c2)OC1(C)C']; ['NC(=O)c1cccc(Br)n1']; [0.999996662]
CC(C)(C)c1ccc(-c2cccc(C(N)=O)n2)cc1; ['CC(C)(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1', 'CC(C)(C)c1ccc(B(O)O)cc1']; ['NC(=O)c1cccc(Cl)n1', 'NC(=O)c1cccc(Br)n1']; [0.999999523, 0.999999523]
NC(=O)c1cccc(-c2cccnc2Oc2ccccc2)n1; [None]; [None]; [0]
CC(C)(C)c1ccc(-c2cccc(C(N)=O)n2)cn1; [None]; [None]; [0]
CN(C)C(=O)c1ccc(-c2cccc(C(N)=O)n2)cc1; ['CN(C)C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1']; ['NC(=O)c1cccc(Br)n1']; [0.999999762]
CC(=O)N[C@@H]1CC[C@@H](c2cccc(C(N)=O)n2)CC1; [None]; [None]; [0]
COCCc1cccc(C(N)=O)n1; ['COCCc1ccccn1']; ['NC=O']; [0.988612711]
COc1cccc(C(=O)Nc2cccc(C(N)=O)n2)c1; ['COc1cccc(C(N)=O)c1']; ['NC(=O)c1cccc(Br)n1']; [0.999732316]
COc1cc(N2CCOCC2)ccc1-c1cccc(C(N)=O)n1; [None]; [None]; [0]
Cc1cc(-c2cccc(C(N)=O)n2)nc(N)n1; [None]; [None]; [0]
CCN1CCN(Cc2ccc(-c3cccc(C(N)=O)n3)cc2)CC1; [None]; [None]; [0]
NC(=O)c1cccc(-c2ccco2)n1; [None]; [None]; [0]
NC(=O)c1cccc([C@@H]2CC[C@@H](O)CC2)n1; [None]; [None]; [0]
